Row,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
0,0,2,4,8,9,11,15,7,14,5,10,13,3,6,12,1
1,2,0,6,10,11,9,13,5,12,7,8,15,1,4,14,3
2,4,6,0,12,13,15,11,3,10,1,14,9,7,2,8,5
3,8,10,12,0,1,3,7,15,6,13,2,5,11,14,4,9
4,9,11,13,1,0,2,6,14,7,12,3,4,10,15,5,8
5,11,9,15,3,2,0,4,12,5,14,1,6,8,13,7,10
6,15,13,11,7,6,4,0,8,1,10,5,2,12,9,3,14
7,7,5,3,15,14,12,8,0,9,2,13,10,4,1,11,6
8,14,12,10,6,7,5,1,9,0,11,4,3,13,8,2,15
9,5,7,1,13,12,14,10,2,11,0,15,8,6,3,9,4
10,10,8,14,2,3,1,5,13,4,15,0,7,9,12,6,11
11,13,15,9,5,4,6,2,10,3,8,7,0,14,11,1,12
12,3,1,7,11,10,8,12,4,13,6,9,14,0,5,15,2
13,6,4,2,14,15,13,9,1,8,3,12,11,5,0,10,7
14,12,14,8,4,5,7,3,11,2,9,6,1,15,10,0,13
15,1,3,5,9,8,10,14,6,15,4,11,12,2,7,13,0
END
