Row,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,8,9,11,15,7,14,5,10,13,3,6,12,1,0,8
2,9,11,15,7,14,5,10,13,3,6,12,1,2,0,9,11
3,15,7,14,5,10,13,3,6,12,1,2,4,0,11,15,7
4,14,5,10,13,3,6,12,1,2,4,8,0,15,7,14,5
5,10,13,3,6,12,1,2,4,8,9,0,7,14,5,10,13
6,3,6,12,1,2,4,8,9,11,0,14,5,10,13,3,6
7,12,1,2,4,8,9,11,15,0,5,10,13,3,6,12,1
8,2,4,8,9,11,15,7,0,10,13,3,6,12,1,2,4
9,8,9,11,15,7,14,0,13,3,6,12,1,2,4,8,9
10,11,15,7,14,5,0,3,6,12,1,2,4,8,9,11,15
11,7,14,5,10,0,6,12,1,2,4,8,9,11,15,7,14
12,5,10,13,0,12,1,2,4,8,9,11,15,7,14,5,10
13,13,3,0,1,2,4,8,9,11,15,7,14,5,10,13,3
14,6,0,2,4,8,9,11,15,7,14,5,10,13,3,6,12
15,1,3,5,9,8,10,14,6,15,4,11,12,2,7,13,0
END
