ROW,C1,C2,C3
0,"tab:finitefield:activities:coding1",,
1,"Coding Theoretic Activities (Part 1)",,
1,"\verb'-report' ","   "," Produce a latex report. "
1,"\verb'-general_code_binary' ","  $n$ label codewords ","Produces a plot of the codewords in the Hamming space. The code is given by a set of codewords in binary. The code has length $n$. If \verb'-metric_balls' $r$ is given, the metric balls of radius $r$ centered around codewords are included in the plot. The command produces several csv files. "
1,"\verb'-encode_text_5bits' "," input fname  ","  "
1,"\verb'-field_induction' "," fname-in fname-out nb-bits  ","  "
1,"\verb'-weight_enumerator' ","  matrix ","Compute the complete weight enumerator of the code $C$. "
1,"\verb'-minimum_distance' ","  code-object-label ","Compute the minimum distance of the linear code object.  "
1,"\verb'-generator_matrix_cyclic_code' "," $n$ poly  ","  "
1,"\verb'-Sylvester_Hadamard_code' "," $n$  ","Create the codewords of a Sylvester type Hadamard matrix of order $n$. Here, $n$ must be a power of $2.$  "
1,"\verb'-fixed_code' "," perm ","  Create the subcode which is fix under the group generated by perm, which acts on the generator matrix by column permutations. "
1,"\verb'-export_magma' ","  fname ","  "
1,"\verb'-export_codewords' "," fname  "," Export a list of codewords using coding as binary numbers. "
1,"\verb'-export_codewords_long' "," fname  "," Export a table of codewords. "
1,"\verb'-export_codewords_by_weight' "," fname  ","  "
1,"\verb'-export_genma' ","  fname ","  "
1,"\verb'-export_checkma' "," fname  ","  "
1,"\verb'-export_checkma_as_projective_set' "," fname  ","  "
END
