ROW,C1,C2,C3
0,"tab:modifier:1",,
1,"Group Modifications (Part 1)",,
1,"\verb'-restricted_action' "," $S$ label-tex "," restricted action on the set $S$ using the given tex-label. "
1,"\verb'-on_k_subspaces' "," $k$ "," induced action on $k$ dimensional subspaces "
1,"\verb'-on_k_subsets' "," $k$ "," induced action on $k$ subsets. "
1,"\verb'-on_wedge_product' ","  "," action on the exterior square "
1,"\verb'-on_cosets_of_subgroup' "," H "," Action on the codes of $H$ in the given group. $H$ must be a subgroup of the given group. "
1,"\verb'-create_special_subgroup' ","  "," Create the subgroup of special matrices. "
1,"\verb'-create_even_subgroup' ","  "," Create the subgroup of even permutations. "
1,"\verb'-derived_subgroup' ","  "," Create the derived subgroup. "
1,"\verb'-point_stabilizer' "," pt "," Create the subgroup which stabilizes pt. "
1,"\verb'-set_stabilizer' "," set control "," Create the subgroup which stabilizes the given set. Requires a poset classification control object to generate the orbits on subsets. "
1,"\verb'-projectivity_subgroup' ","  "," Create the projectivity subgroup of a semilinear group. "
1,"\verb'-field_reduction' "," "," Create the field reduced group. "
1,"\verb'-action_on_self_by_' \verb'right_multiplication' "," "," Create the action on the group itself by right multiplication. "
1,"\verb'-action_on_self_by_conjugation' "," "," Create the action on the group itself by conjugation. "
1,"\verb'-direct_product' "," list order gens "," Create the direct product action of the two actions given in list (comma separated). Then create the subgroup of the given order from the given generators. "
1,"\verb'-polarity_extension' "," G0 P "," Create the polarity extension of G0. P is the underlying projective space on which G0 acts. "
1,"\verb'-on_middle_layer_grassmannian' "," "," Applies to the polarity\_extension command. The restricted action on the middle layer in the poset of subspaces is created. "
1,"\verb'-on_points_and_hyperplanes' "," "," Applies to the polarity\_extension command. The restricted action on points and hyperplanes is created. "
1,"\verb'-automorphism_group' ","  "," Create the automorphism group of the input group (which is given in \verb'-from'). This command requires Magma. "
END

1,"\verb'-holomorph' ","  "," Create the semidirect product of the group and its automorphism group. "
