ROW,C1,C2,C3
0,"tab:misc:3",,
1,"Miscellaneous Orbiter Commands (Part 3)",,
1,"\verb'-plot_function' "," function-name ","  "
1,"\verb'-draw_projective_curve' "," options ","  "
1,"\verb'-tree_draw' "," options ","Draw a tree from a description. For options, see Table~\ref{tab:tree:draw}. "
1,"\verb'-extract_from_file' "," fname-in key fname-out ","Extract lines from a text file, starting with the given key and continuing until the next empty row.  "
1,"\verb'-extract_from_file_with_tail' "," fname-in key tail fname-out  ","Extract lines from a text file, starting with the given key and continuing until the next empty row.  "
1,"\verb'-serialize_file_names' "," fname output-mask ","  "
1,"\verb'-save_4_bit_data_file' "," fname vector-data ","  "
1,"\verb'-gnuplot' "," fname title label\_x label\_y ","Produce an diagram of data series using gnuplot~\cite{gnuplot}. "
1,"\verb'-compare_columns' "," fname col1 col2 ","  "
1,"\verb'-gcd_worksheet' "," nb\_problems N key ","  "
1,"\verb'-draw_layered_graph' "," options "," Draw layered graph options given directly. "
1,"\verb'-read_xml' "," fname fname\_out "," Produces cross references for classes from a Doxygen output file. "
1,"\verb'-read_column_and_tally' "," fname col-header ","  "
1,"\verb'-intersect_with' "," matrix data "," Counts the number of times an element of data appears in any given row of the given matrix.  "
END
