Row,C0
0,0
1,1
2,1
3,2
4,3
5,3
6,4
7,5
8,6
9,6
10,7
11,8
12,8
13,9
14,10
15,11
16,12
17,12
18,13
19,14
20,14
21,15
22,16
23,17
24,17
25,18
26,19
27,19
28,20
29,21
30,22
31,23
32,24
33,24
34,25
35,26
36,26
37,27
38,28
39,29
40,29
41,30
42,31
43,31
44,32
45,33
46,34
47,35
48,35
49,36
50,37
51,37
52,38
53,39
54,40
55,40
56,41
57,42
58,42
59,43
60,44
61,45
62,46
63,47
64,48
65,48
66,49
67,50
68,50
69,51
70,52
71,53
72,53
73,54
74,55
75,55
76,56
77,57
78,58
79,59
80,59
81,60
82,61
83,61
84,62
85,63
86,64
87,64
88,65
89,66
90,66
91,67
92,68
93,69
94,70
95,71
96,71
97,72
98,73
99,73
100,74
101,75
102,76
103,76
104,77
105,78
106,78
107,79
108,80
109,81
110,82
111,82
112,83
113,84
114,84
115,85
116,86
117,87
118,87
119,88
120,89
121,89
122,90
123,91
124,92
125,93
END
