Idx,Wedge_rk,Wedge coords,Line_rk,Line basis,Klein_rk,Klein coords
0,1," 0, 1, 0, 0, 0, 0",81," 1, 0, 0, 0, 0, 0, 1, 0",2," 0, 0, 1, 0, 0, 0"
1,2," 0, 0, 1, 0, 0, 0",90," 1, 0, 0, 0, 0, 0, 0, 1",100," 0, 0, 0, 0, 1, 0"
2,3," 0, 0, 0, 1, 0, 0",7371," 0, 1, 0, 0, 0, 0, 1, 0",901," 0, 0, 0, 0, 0, 1"
3,4," 0, 0, 0, 0, 1, 0",7380," 0, 1, 0, 0, 0, 0, 0, 1",19," 0, 0, 0, 1, 0, 0"
4,7," 1, 1, 0, 0, 0, 0",1," 1, 0, 0, 0, 0, 1, 1, 0",3," 1, 0, 1, 0, 0, 0"
5,8," 2, 1, 0, 0, 0, 0",2," 1, 0, 0, 0, 0, 1, 2, 0",4," 2, 0, 1, 0, 0, 0"
6,9," 3, 1, 0, 0, 0, 0",4," 1, 0, 0, 0, 0, 1, 4, 0",5," 3, 0, 1, 0, 0, 0"
7,10," 4, 1, 0, 0, 0, 0",3," 1, 0, 0, 0, 0, 1, 3, 0",6," 4, 0, 1, 0, 0, 0"
8,11," 5, 1, 0, 0, 0, 0",7," 1, 0, 0, 0, 0, 1, 7, 0",7," 5, 0, 1, 0, 0, 0"
9,12," 6, 1, 0, 0, 0, 0",8," 1, 0, 0, 0, 0, 1, 8, 0",8," 6, 0, 1, 0, 0, 0"
10,13," 7, 1, 0, 0, 0, 0",5," 1, 0, 0, 0, 0, 1, 5, 0",9," 7, 0, 1, 0, 0, 0"
11,14," 8, 1, 0, 0, 0, 0",6," 1, 0, 0, 0, 0, 1, 6, 0",10," 8, 0, 1, 0, 0, 0"
12,15," 1, 0, 1, 0, 0, 0",9," 1, 0, 0, 0, 0, 1, 0, 1",101," 1, 0, 0, 0, 1, 0"
13,16," 2, 0, 1, 0, 0, 0",18," 1, 0, 0, 0, 0, 1, 0, 2",102," 2, 0, 0, 0, 1, 0"
14,17," 3, 0, 1, 0, 0, 0",36," 1, 0, 0, 0, 0, 1, 0, 4",103," 3, 0, 0, 0, 1, 0"
15,18," 4, 0, 1, 0, 0, 0",27," 1, 0, 0, 0, 0, 1, 0, 3",104," 4, 0, 0, 0, 1, 0"
16,19," 5, 0, 1, 0, 0, 0",63," 1, 0, 0, 0, 0, 1, 0, 7",105," 5, 0, 0, 0, 1, 0"
17,20," 6, 0, 1, 0, 0, 0",72," 1, 0, 0, 0, 0, 1, 0, 8",106," 6, 0, 0, 0, 1, 0"
18,21," 7, 0, 1, 0, 0, 0",45," 1, 0, 0, 0, 0, 1, 0, 5",107," 7, 0, 0, 0, 1, 0"
19,22," 8, 0, 1, 0, 0, 0",54," 1, 0, 0, 0, 0, 1, 0, 6",108," 8, 0, 0, 0, 1, 0"
20,23," 0, 1, 1, 0, 0, 0",82," 1, 0, 0, 0, 0, 0, 1, 1",117," 0, 0, 1, 0, 1, 0"
21,24," 1, 1, 1, 0, 0, 0",10," 1, 0, 0, 0, 0, 1, 1, 1",118," 1, 0, 1, 0, 1, 0"
22,25," 2, 1, 1, 0, 0, 0",20," 1, 0, 0, 0, 0, 1, 2, 2",119," 2, 0, 1, 0, 1, 0"
23,26," 3, 1, 1, 0, 0, 0",40," 1, 0, 0, 0, 0, 1, 4, 4",120," 3, 0, 1, 0, 1, 0"
24,27," 4, 1, 1, 0, 0, 0",30," 1, 0, 0, 0, 0, 1, 3, 3",121," 4, 0, 1, 0, 1, 0"
25,28," 5, 1, 1, 0, 0, 0",70," 1, 0, 0, 0, 0, 1, 7, 7",122," 5, 0, 1, 0, 1, 0"
26,29," 6, 1, 1, 0, 0, 0",80," 1, 0, 0, 0, 0, 1, 8, 8",123," 6, 0, 1, 0, 1, 0"
