Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,13,5,0,"0,3,261,351,441",576,94478400,0
1,1,14,5,1,"0,3,261,351,442",72,755827200,0
2,2,15,5,2,"0,3,261,351,450",16,3401222400,0
3,3,16,5,3,"0,3,261,351,486",64,850305600,0
4,4,17,5,4,"0,3,261,352,441",18,3023308800,0
5,5,18,5,5,"0,3,261,352,442",18,3023308800,0
6,6,19,5,6,"0,3,261,352,448",72,755827200,0
7,7,20,5,7,"0,3,261,352,450",2,27209779200,0
8,8,21,5,8,"0,3,261,352,486",8,6802444800,0
9,9,22,5,9,"0,3,261,360,432",16,3401222400,0
10,10,23,5,10,"0,3,261,360,433",2,27209779200,0
11,11,24,5,11,"0,3,261,360,450",16,3401222400,0
12,12,25,5,12,"0,3,261,360,451",2,27209779200,0
13,13,26,5,13,"0,3,261,360,459",16,3401222400,0
14,14,27,5,14,"0,3,261,360,460",2,27209779200,0
15,15,28,5,15,"0,3,261,360,513",8,6802444800,0
16,16,29,5,16,"0,3,261,360,514",1,54419558400,0
17,17,30,5,17,"0,3,261,360,531",8,6802444800,0
18,18,31,5,18,"0,3,261,360,532",1,54419558400,0
19,19,32,5,19,"0,3,261,360,549",8,6802444800,0
20,20,33,5,20,"0,3,261,360,550",1,54419558400,0
21,21,34,5,21,"0,3,261,432,522",16,3401222400,0
22,22,35,5,22,"0,3,261,432,523",2,27209779200,0
23,23,36,5,23,"0,3,261,432,531",8,6802444800,0
24,24,37,5,24,"0,3,261,432,532",1,54419558400,0
25,25,38,5,25,"0,3,261,441,531",1440,37791360,0
26,26,39,5,26,"0,3,261,441,532",36,1511654400,0
27,27,40,5,27,"0,3,261,441,558",32,1700611200,0
28,28,41,5,28,"0,3,261,442,532",36,1511654400,0
29,29,42,5,29,"0,3,261,442,558",4,13604889600,0
30,30,43,5,30,"0,3,261,450,522",32,1700611200,0
31,31,44,5,31,"0,3,261,450,523",4,13604889600,0
32,32,45,5,32,"0,3,261,486,549",160,340122240,0
33,33,46,5,33,"0,3,261,486,550",20,2720977920,0
END
